fixture_id,surface_id,role_family,step_index,observation_shape,action_shape,action_steer,action_throttle,action_brake,action_finite,action_within_bounds,backend_status,terminated_by_backend,truncated_by_backend,diagnostic_wheel_force_count,policy_action
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,46,72,3,0.8253078460693359,-0.09627275168895721,0.0365477129817009,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,47,72,3,0.8274757862091064,-0.1001109927892685,0.034531500190496445,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,48,72,3,0.8295131325721741,-0.10385748744010925,0.03270963951945305,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,49,72,3,0.8314260244369507,-0.10749296098947525,0.031070182099938393,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,50,72,3,0.8332198858261108,-0.11100304126739502,0.029600337147712708,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,51,72,3,0.8349003791809082,-0.1143767461180687,0.028286665678024292,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,52,72,3,0.8364726305007935,-0.11760689318180084,0.027115492150187492,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,53,72,3,0.8379420042037964,-0.12068919837474823,0.02607344649732113,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,54,72,3,0.8393134474754333,-0.12362174689769745,0.02514743246138096,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,55,72,3,0.8405922055244446,-0.1264045685529709,0.024324869737029076,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,56,72,3,0.841783344745636,-0.1290394514799118,0.02359427697956562,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,57,72,3,0.8428916931152344,-0.13152959942817688,0.022944394499063492,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,58,72,3,0.8439220190048218,-0.13387919962406158,0.022365199401974678,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,59,72,3,0.8448792695999146,-0.1360933631658554,0.021847249940037727,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,60,72,3,0.8457676768302917,-0.13817791640758514,0.021382194012403488,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,61,72,3,0.8465919494628906,-0.14013855159282684,0.020962273702025414,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,62,72,3,0.8473561406135559,-0.14198222756385803,0.020580627024173737,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,63,72,3,0.8480642437934875,-0.14371512830257416,0.020231299102306366,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,64,72,3,0.8487202525138855,-0.1453441083431244,0.019908659160137177,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,65,72,3,0.8493279218673706,-0.14687585830688477,0.019607989117503166,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,66,72,3,0.8498905301094055,-0.14831675589084625,0.01932498812675476,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,67,72,3,0.850411593914032,-0.14967332780361176,0.019056076183915138,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,68,72,3,0.8508942723274231,-0.1509517878293991,0.01879792846739292,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,69,72,3,0.8513414263725281,-0.15215812623500824,0.01854780688881874,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,70,72,3,0.8517559766769409,-0.15329837799072266,0.018303282558918,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,71,72,3,0.8521406650543213,-0.15437772870063782,0.01806221343576908,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,72,72,3,0.8524978756904602,-0.1554017812013626,0.017823053523898125,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,73,72,3,0.8528301119804382,-0.15637530386447906,0.017584210261702538,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,74,72,3,0.8531395196914673,-0.157303124666214,0.017344404011964798,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,75,72,3,0.8534282445907593,-0.1581898331642151,0.017102492973208427,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,76,72,3,0.8536983132362366,-0.1590394824743271,0.016857905313372612,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,77,72,3,0.853951632976532,-0.15985628962516785,0.01660984754562378,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,78,72,3,0.8541900515556335,-0.16064392030239105,0.0163577888160944,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,79,72,3,0.8544151186943054,-0.16140560805797577,0.016101280227303505,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,80,72,3,0.8546285033226013,-0.16214509308338165,0.015840129926800728,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,81,72,3,0.8548316955566406,-0.16286508738994598,0.015574254095554352,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,82,72,3,0.855026125907898,-0.16356854140758514,0.015303489752113819,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,83,72,3,0.8552133440971375,-0.16425821185112,0.015027892775833607,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,84,72,3,0.8553944230079651,-0.16493633389472961,0.014747623354196548,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,85,72,3,0.8555707335472107,-0.1656056046485901,0.014462673105299473,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,86,72,3,0.8557434678077698,-0.16626796126365662,0.014173404313623905,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,87,72,3,0.8559136986732483,-0.166925311088562,0.013880106620490551,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,88,72,3,0.8560826182365417,-0.16757996380329132,0.013583204708993435,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,89,72,3,0.8562512993812561,-0.16823329031467438,0.013282888568937778,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,90,72,3,0.856420636177063,-0.16888687014579773,0.012979918159544468,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,91,72,3,0.8565917015075684,-0.16954222321510315,0.012674692086875439,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,92,72,3,0.8567653298377991,-0.17020058631896973,0.012367661111056805,True,True,running,False,False,4,True
hf0_four_wheel_stable_aes_fixture,source_only_four_wheel_hf0,stable_aes,93,72,3,0.856942355632782,-0.17086340487003326,0.012059684842824936,True,True,running,False,False,4,True
