row_index,workload_id,task_source_id,profile_name,missing_metadata_fields
101,m2063-osd-osd_v0_0164_t3::L1_one_step,m2063-osd-osd_v0_0164_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
102,m2063-osd-osd_v0_0164_t3::L2_window_50,m2063-osd-osd_v0_0164_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
103,m2063-osd-osd_v0_0164_t3::L3_online_gru,m2063-osd-osd_v0_0164_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
104,m2063-osd-osd_v0_0164_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0164_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
105,m2063-osd-osd_v0_0165_t3::L0_current_masked,m2063-osd-osd_v0_0165_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
106,m2063-osd-osd_v0_0165_t3::L1_one_step,m2063-osd-osd_v0_0165_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
107,m2063-osd-osd_v0_0165_t3::L2_window_50,m2063-osd-osd_v0_0165_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
108,m2063-osd-osd_v0_0165_t3::L3_online_gru,m2063-osd-osd_v0_0165_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
109,m2063-osd-osd_v0_0165_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0165_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
110,m2063-osd-osd_v0_0166_t3::L0_current_masked,m2063-osd-osd_v0_0166_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
111,m2063-osd-osd_v0_0166_t3::L1_one_step,m2063-osd-osd_v0_0166_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
112,m2063-osd-osd_v0_0166_t3::L2_window_50,m2063-osd-osd_v0_0166_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
113,m2063-osd-osd_v0_0166_t3::L3_online_gru,m2063-osd-osd_v0_0166_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
114,m2063-osd-osd_v0_0166_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0166_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
115,m2063-osd-osd_v0_0167_t3::L0_current_masked,m2063-osd-osd_v0_0167_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
116,m2063-osd-osd_v0_0167_t3::L1_one_step,m2063-osd-osd_v0_0167_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
117,m2063-osd-osd_v0_0167_t3::L2_window_50,m2063-osd-osd_v0_0167_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
118,m2063-osd-osd_v0_0167_t3::L3_online_gru,m2063-osd-osd_v0_0167_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
119,m2063-osd-osd_v0_0167_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0167_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
120,m2063-osd-osd_v0_0168_t4::L0_current_masked,m2063-osd-osd_v0_0168_t4,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
