policy,key,seed,source_condition,source_step,paired_step,target_obstacle_distance,relocated_obstacle_body_y,relocated_obstacle_half_width,reference_normal_margin,reference_wrong_history_margin,reference_margin_gap,found_rows,accepted,normal_success,normal_margin,wrong_history_margin,margin_gap,margin_gap_delta_vs_reference
m399_base,9958|perturbed|39|36,9958,perturbed,39,36,9.5,-1.2,0.9,0.0003789526382989,-0.0017575737172665,0.0021365263555654,1,False,False,-0.0013438781762931118,-0.00354124923283905,0.002197371056545938,6.084470098053794e-05
m399_base,9998|perturbed|25|25,9998,perturbed,25,25,11.0,-1.0,1.4,0.0009823463918734,-0.0006409188329237,0.0016232652247971,1,True,True,0.0008970422353447027,-0.0008437612228622271,0.0017408034582069298,0.0001175382334098298
m399_base,9951|perturbed|35|32,9951,perturbed,35,32,10.0,-1.2,1.4,0.0009230125498942,-5.206639750454656e-06,0.0009282191896446,1,False,False,-0.000210187659470229,-0.0014642452326132371,0.0012540575731430081,0.0003258383834984081
m399_base,10038|perturbed|38|38,10038,perturbed,38,38,11.5,-0.8,1.2,0.2890381016548282,0.2856726699034304,0.0033654317513978,1,True,True,0.28845707728383996,0.284735706993565,0.0037213702902749723,0.00035593853887717214
m399_base,9910|perturbed|38|35,9910,perturbed,38,35,10.5,-0.8,1.2,0.2832964319330338,0.278028793325102,0.0052676386079317,1,True,True,0.288467308261227,0.2798950548063259,0.008572253454901091,0.0033046148469693913
m399_base,9907|perturbed|27|18,9907,perturbed,27,18,10.5,-1.2,0.7,0.1110636578472228,0.0835755297944174,0.0274881280528054,1,True,True,0.10288410705734186,0.0805486565353477,0.02233545052199415,-0.0051526775308112505
m399_base,10033|perturbed|29|23,10033,perturbed,29,23,9.5,-1.2,0.7,0.0354981689906621,0.0127290479055686,0.0227691210850935,1,True,True,0.026257621850723778,0.00829080239293467,0.017966819457789107,-0.004802301627304394
m399_base,10033|perturbed|26|23,10033,perturbed,26,23,9.5,-1.2,0.7,0.1081897916553806,0.0957178523693589,0.0124719392860217,1,True,True,0.09814508820630574,0.08929222876880138,0.008852859437504357,-0.003619079848517344
m399_base,9982|perturbed|42|39,9982,perturbed,42,39,9.5,-1.2,0.7,0.075174154491783,0.0393208094407531,0.0358533450510298,1,True,True,0.06261196462273255,0.028706659826384096,0.03390530479634846,-0.0019480402546813436
m399_base,10000|perturbed|41|32,10000,perturbed,41,32,10.5,-1.2,0.9,0.0050161496310765,0.0014393044718794,0.003576845159197,1,True,True,0.003660609113227853,0.0009002918843297181,0.002760317228898135,-0.0008165279302988653
m399_base,10006|perturbed|37|40,10006,perturbed,37,40,12.5,-1.2,0.7,0.1003727975190202,0.0769199235577666,0.0234528739612536,1,True,True,0.0987544044209887,0.07555823252971461,0.023196171891274098,-0.0002567020699795024
