policy,obstacle_label,mu_bucket,mass_bucket,brake_bucket,steering_tau_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,drift_required,high,nominal,strong,slow,2,12.492393026064025,0.0,1.0,0.30758413556036884,0.35318742220096055,0.1820317567728763,0.045626768251819085,0.0,13.982229229259008,0.012658403487876058,1.0,0.0,1.6316551042546419,1.0,,0.8604535779883853,0.912150348531007,1.6769088952972515,-0.045253791042609515,-0.057599376144075176
heuristic,drift_required,high,heavy,weak,nominal,1,43.75883822202799,0.0,1.0,0.7833302060509021,1.600473367910574,0.15600142078452658,0.006741542559833563,0.0,11.969622577792348,0.0034040985628962517,1.0,0.0,1.58427805423405,1.0,,1.085039483798662,1.085039483798662,1.7084805989281389,-0.12420254469408887,-0.12420254469408887
heuristic,drift_required,high,heavy,weak,slow,4,71.56486482576629,0.5,0.5,0.8773847046198511,1.8607545447749771,0.15460586370858867,0.020880067361555253,0.0,13.260468154297506,0.0034505235380493104,0.5,0.5,1.9321939819412588,1.0,,0.8000107606493485,0.9561451211359744,1.815043576377828,0.1171504055634307,-0.20632548296108477
heuristic,drift_required,high,heavy,nominal,slow,3,50.72481116897137,0.3333333333333333,0.6666666666666666,0.42282628069689393,0.7053114398397872,0.20805445474884854,0.0242641515214629,0.0,13.397978321622352,0.0084029627032578,0.6666666666666666,0.3333333333333333,2.0486500078575234,1.0,,1.0251712454894735,1.1395938985083103,1.7494537265923926,0.2991962812651308,-0.019978363972800395
heuristic,drift_required,high,heavy,strong,fast,1,9.504241681035964,0.0,1.0,1.1341653199183406,1.7754603615391815,0.2927230241076301,0.042835646784363926,0.0,15.394029010855109,0.011734346859157085,1.0,0.0,1.4709620081893635,1.0,,0.97248075823433,0.97248075823433,1.7806630460987471,-0.30970103790938364,-0.30970103790938364
heuristic,drift_required,high,heavy,strong,nominal,1,44.055522925460124,0.0,1.0,0.3958994562764603,0.8918474592507124,0.1211824907275236,0.034001639991239875,0.0,12.69529778278839,0.0024566396605223417,1.0,0.0,1.7878908444655757,1.0,,1.0195134981449236,1.0195134981449236,1.8048891959142965,-0.01699835144872086,-0.01699835144872086
heuristic,drift_required,high,heavy,strong,slow,3,62.76532940666587,0.6666666666666666,0.3333333333333333,0.3095649408303392,0.4446078900579546,0.09000954204335261,0.06543473537576988,0.0,14.13007801373247,0.004559381709744533,0.3333333333333333,0.6666666666666666,1.9296229141602923,1.0,,0.8628543068986263,0.9618700739329533,1.761468957495812,0.16815395666448021,-0.009966956732587517
heuristic,unavoidable,low,light,strong,slow,2,1.9262849889068967,0.0,1.0,0.36428039930872286,0.398838432484645,0.20513044026543503,0.02481730385015802,0.0,12.532994591225105,0.010644844733178616,1.0,0.0,1.7490300660140397,1.0,,0.3696623316774903,0.37182495448151576,1.7780040557296275,-0.028973989715587845,-0.04085847318829461
heuristic,unavoidable,low,heavy,weak,slow,1,5.412561689997002,0.0,1.0,0.06432807074727874,0.12265862233434888,0.24647733050394907,0.02876139700387511,0.0,12.340029324671224,0.01893729530274868,1.0,0.0,1.7876257516054177,1.0,,0.4485116947744147,0.4485116947744147,1.9011317103480465,-0.11350595874262881,-0.11350595874262881
heuristic,unavoidable,low,heavy,strong,nominal,1,27.046271389611636,0.0,1.0,0.25673000171800714,0.425679638714314,0.21155243446101785,0.09031443788440804,0.0,14.508680271538058,0.014119451865553856,1.0,0.0,1.339654816179423,1.0,,0.4005652540728336,0.4005652540728336,1.4521460615258805,-0.11249124534645749,-0.11249124534645749
heuristic,unavoidable,medium,light,weak,slow,1,3.3782827766347268,0.0,1.0,0.12839777234412597,0.25091808618525135,0.041600313675108816,0.01077344993586852,0.0,13.152047112882244,0.0030974927358329296,1.0,0.0,1.5011503018915424,1.0,,0.5760389855741188,0.5760389855741188,1.6493736300610382,-0.1482233281694958,-0.1482233281694958
heuristic,unavoidable,medium,light,nominal,slow,1,3.4068135977430636,0.0,1.0,0.4475487279031526,0.5789626024740002,0.22633644634514696,0.019359646361147533,0.0,12.964870647070157,0.0017221871530637145,1.0,0.0,1.7964166194974167,1.0,,0.5418642261913483,0.5418642261913483,1.8915468586167115,-0.09513023911929475,-0.09513023911929475
heuristic,unavoidable,medium,light,strong,slow,2,14.52363103373338,0.0,1.0,0.31894631540448826,0.5322583147669313,0.04390826066727637,0.03660493413206664,0.0,13.969869743795433,0.0036244578659534454,1.0,0.0,1.4823555646789166,1.0,,0.5986074728388353,0.6437543719035683,1.5033215090089145,-0.020965944329997876,-0.0283195265512437
heuristic,unavoidable,medium,nominal,nominal,slow,1,18.09231904994861,0.0,1.0,0.21929090264928552,0.2734465258596046,0.11599129684213683,0.01417245357681522,0.0,14.25480845934573,0.01147635281085968,1.0,0.0,1.7937546215532028,1.0,,0.5770900856089534,0.5770900856089534,1.8406673009095882,-0.046912679356385434,-0.046912679356385434
