workload_id,candidate_source_id,task_source_id,profile_name,repair_source_kind,selection_quota_name,source_role_semantics,parent_feasibility_tier_id,parent_surface_variant,normalized_surface_variant,sampled_obstacle_label,base_geometry_source,representative_cell_rule,outcome_bucket,termination_reason,min_clearance_margin,return,steps
tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer::L3_reset_control_corrected,otsr_v0_0092_success_stabilizer,tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.012466760503001773,16.74230862537351,18
tqcm_exec_v0_0055_otsr_v0_0095_success_stabilizer::L3_reset_control_corrected,otsr_v0_0095_success_stabilizer,tqcm_exec_v0_0055_otsr_v0_0095_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,1.4394364759027214,26.062573348594007,17
tqcm_exec_v0_0065_otsr_v0_0144_mitigation_isolation_check::L1_one_step,otsr_v0_0144_mitigation_isolation_check,tqcm_exec_v0_0065_otsr_v0_0144_mitigation_isolation_check,L1_one_step,mitigation_isolation_check,mitigation_unavoidable_post,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,post_friction_step,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.1901327175145897,29.041340660849396,29
tqcm_exec_v0_0066_otsr_v0_0157_mitigation_isolation_check::L0_current_masked,otsr_v0_0157_mitigation_isolation_check,tqcm_exec_v0_0066_otsr_v0_0157_mitigation_isolation_check,L0_current_masked,mitigation_isolation_check,mitigation_unavoidable_post,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,post_friction_step,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.008445626078509072,24.149259520717404,28
tqcm_exec_v0_0066_otsr_v0_0157_mitigation_isolation_check::L1_one_step,otsr_v0_0157_mitigation_isolation_check,tqcm_exec_v0_0066_otsr_v0_0157_mitigation_isolation_check,L1_one_step,mitigation_isolation_check,mitigation_unavoidable_post,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,post_friction_step,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.11346489221576794,26.82337777012293,29
tqcm_exec_v0_0069_otsr_v0_0148_mitigation_isolation_check::L1_one_step,otsr_v0_0148_mitigation_isolation_check,tqcm_exec_v0_0069_otsr_v0_0148_mitigation_isolation_check,L1_one_step,mitigation_isolation_check,mitigation_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.5169641746972613,23.469976399444686,16
tqcm_exec_v0_0071_otsr_v0_0149_mitigation_isolation_check::L1_one_step,otsr_v0_0149_mitigation_isolation_check,tqcm_exec_v0_0071_otsr_v0_0149_mitigation_isolation_check,L1_one_step,mitigation_isolation_check,mitigation_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.6417776789096603,22.806214536693986,18
tqcm_exec_v0_0071_otsr_v0_0149_mitigation_isolation_check::L3_online_gru,otsr_v0_0149_mitigation_isolation_check,tqcm_exec_v0_0071_otsr_v0_0149_mitigation_isolation_check,L3_online_gru,mitigation_isolation_check,mitigation_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.4922578638772843,22.682680444772444,17
tqcm_exec_v0_0071_otsr_v0_0149_mitigation_isolation_check::L3_reset_control_corrected,otsr_v0_0149_mitigation_isolation_check,tqcm_exec_v0_0071_otsr_v0_0149_mitigation_isolation_check,L3_reset_control_corrected,mitigation_isolation_check,mitigation_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.40498594060520343,21.71437623268854,17
tqcm_exec_v0_0072_otsr_v0_0159_mitigation_isolation_check::L3_online_gru,otsr_v0_0159_mitigation_isolation_check,tqcm_exec_v0_0072_otsr_v0_0159_mitigation_isolation_check,L3_online_gru,mitigation_isolation_check,mitigation_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.7847932043857182,25.718980972342514,17
tqcm_exec_v0_0073_otsr_v0_0153_mitigation_isolation_check::L3_online_gru,otsr_v0_0153_mitigation_isolation_check,tqcm_exec_v0_0073_otsr_v0_0153_mitigation_isolation_check,L3_online_gru,mitigation_isolation_check,mitigation_stable_aeb_post,stable_aeb,tier_e_mitigation_only,post_friction_step,post_friction_step,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,2.6672296567949902,28.16712587816986,30
tqcm_exec_v0_0073_otsr_v0_0153_mitigation_isolation_check::L3_reset_control_corrected,otsr_v0_0153_mitigation_isolation_check,tqcm_exec_v0_0073_otsr_v0_0153_mitigation_isolation_check,L3_reset_control_corrected,mitigation_isolation_check,mitigation_stable_aeb_post,stable_aeb,tier_e_mitigation_only,post_friction_step,post_friction_step,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,4.265856448103882,35.62037501659977,30
tqcm_exec_v0_0075_otsr_v0_0154_mitigation_isolation_check::L3_reset_control_corrected,otsr_v0_0154_mitigation_isolation_check,tqcm_exec_v0_0075_otsr_v0_0154_mitigation_isolation_check,L3_reset_control_corrected,mitigation_isolation_check,mitigation_stable_aeb_post,stable_aeb,tier_e_mitigation_only,post_friction_step,post_friction_step,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,0.2697114465919923,28.528569017423255,26
tqcm_exec_v0_0079_otsr_v0_0152_mitigation_isolation_check::L1_one_step,otsr_v0_0152_mitigation_isolation_check,tqcm_exec_v0_0079_otsr_v0_0152_mitigation_isolation_check,L1_one_step,mitigation_isolation_check,mitigation_drift_steady,drift_required_recovery,tier_e_mitigation_only,steady_surface,steady_surface,drift_required,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,0.7006753782609434,34.522461834666444,27
tqcm_exec_v0_0079_otsr_v0_0152_mitigation_isolation_check::L3_reset_control_corrected,otsr_v0_0152_mitigation_isolation_check,tqcm_exec_v0_0079_otsr_v0_0152_mitigation_isolation_check,L3_reset_control_corrected,mitigation_isolation_check,mitigation_drift_steady,drift_required_recovery,tier_e_mitigation_only,steady_surface,steady_surface,drift_required,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,0.18526425502259913,26.327745308103903,27
