slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,collision_rate,offtrack_outcome_rate,support_label,profile_name,repair_source_kind,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label
outcome_by_profile_parent_tier,offtrack,7,0,1,6,0.14285714285714285,0.8571428571428571,no_support,L2_window_50,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_50,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,12,0,2,10,0.16666666666666666,0.8333333333333334,no_support,L2_window_50_current_tiled,,,tier_b_feasible_emergency,,
outcome_by_profile_parent_tier,offtrack,44,0,1,43,0.022727272727272728,0.9772727272727273,no_support,L2_window_50_current_tiled,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,7,0,1,6,0.14285714285714285,0.8571428571428571,no_support,L2_window_50_current_tiled,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_50_current_tiled,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,44,2,2,40,0.045454545454545456,0.9090909090909091,weak_support,L3_online_gru,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L3_online_gru,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_parent_tier,offtrack,44,3,1,40,0.022727272727272728,0.9090909090909091,weak_support,L3_reset_control_corrected,,,tier_c_boundary_near_miss,,
outcome_by_profile_parent_tier,offtrack,8,0,0,8,0.0,1.0,no_support,L3_reset_control_corrected,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L0_current_masked,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L1_one_step,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,3,33,0.08333333333333333,0.9166666666666666,no_support,L2_window_100,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_100,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,5,31,0.1388888888888889,0.8611111111111112,no_support,L2_window_100_current_tiled,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_100_current_tiled,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,2,34,0.05555555555555555,0.9444444444444444,no_support,L2_window_13,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_13,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,3,33,0.08333333333333333,0.9166666666666666,no_support,L2_window_13_current_tiled,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_13_current_tiled,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,4,32,0.1111111111111111,0.8888888888888888,no_support,L2_window_25,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_25,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,5,31,0.1388888888888889,0.8611111111111112,no_support,L2_window_25_current_tiled,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_25_current_tiled,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,3,33,0.08333333333333333,0.9166666666666666,no_support,L2_window_50,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_50,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,36,0,3,33,0.08333333333333333,0.9166666666666666,no_support,L2_window_50_current_tiled,,,,post_friction_step,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L2_window_50_current_tiled,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L3_online_gru,,,,relief_surface_unspecified,
outcome_by_profile_normalized_surface,offtrack,8,0,0,8,0.0,1.0,no_support,L3_reset_control_corrected,,,,relief_surface_unspecified,
outcome_by_source_kind_role_surface,offtrack,192,0,0,192,0.0,1.0,no_support,,anchor_neighborhood,stable_aeb,,post_friction_step,
outcome_by_source_kind_role_surface,offtrack,192,0,0,192,0.0,1.0,no_support,,anchor_neighborhood,stable_aeb,,steady_surface,
outcome_by_source_kind_role_surface,offtrack,96,0,0,96,0.0,1.0,no_support,,offtrack_boundary_relief,stable_aes_only,,relief_surface_unspecified,
outcome_by_source_kind_role_surface,offtrack,24,0,0,24,0.0,1.0,no_support,,success_stabilizer,drift_required_recovery,,steady_surface,
outcome_by_source_kind_role_surface,offtrack,48,3,0,45,0.0,0.9375,weak_support,,success_stabilizer,stable_aeb,,post_friction_step,
outcome_by_source_kind_role_surface,offtrack,48,2,0,46,0.0,0.9583333333333334,weak_support,,success_stabilizer,stable_aeb,,steady_surface,
outcome_by_source_kind_role_surface,offtrack,36,7,0,29,0.0,0.8055555555555556,weak_support,,success_stabilizer,stable_aes_only,,post_friction_step,
outcome_by_source_kind_role_surface,offtrack,36,4,0,32,0.0,0.8888888888888888,weak_support,,success_stabilizer,stable_aes_only,,steady_surface,
