candidate_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
otsr_v0_0003_anchor_neighborhood,L3_reset_control_corrected,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.24315381816746,5.804531368833625,17.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L0_current_masked,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,40.669576206484095,7.846044393441121,18.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L1_one_step,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,39.19307240888165,9.183656323894022,20.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_100,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.048689753245945,4.513840948424436,16.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_100_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.006156439821744,5.767206559106744,16.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_13,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.24590398780584,7.289737001490806,17.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_13_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.00314305414533,4.282485267012047,16.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_25,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.15402053703945,5.825417979013046,17.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_25_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.99536194127281,3.5948474199683225,16.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_50,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.13135669479035,3.3134975019707564,17.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L2_window_50_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.99568420446975,1.3322152285119158,16.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L3_online_gru,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.047366644889735,8.15951990517641,17.0,True,0,0,1,1,0,0
otsr_v0_0004_anchor_neighborhood,L3_reset_control_corrected,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,40.38683962822056,8.525016090728018,18.0,True,0,0,1,1,0,0
