seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,checkpoint_ablation,mu_bucket,initial_mu_bucket,mass_bucket,cg_bucket,brake_bucket,tire_bucket,steering_tau_bucket,success
9525,heuristic,50,True,False,1.108580078639291,0.30983256229390244,1829.139613362068,1.261475595422116,1.1010490591172273,-0.05501638795409036,1.332556585536974,1.1327140446351844,1.1082413354201415,0.8101676473162902,0.8101676473162901,12,True,True,unavoidable,True,False,1.69959125069384,1.8396518708453253,-0.14006062015148535,23.721238507506452,0.47442477015012907,0.5075533672132658,1.1323833903051863,0.05740414940266118,0.007297627014130591,0.0,14.393200340222554,0.003231503302231431,1,,,50,0.5075533672132658,0.05740414940266118,14.393200340222554,0.47442477015012907,0,,,,,0,,,,,,high,low,heavy,rear,strong,strong,fast,False
9526,heuristic,32,True,False,0.3696623316774903,0.625656986546434,1223.4516059123173,0.8437597282153912,0.9457241793761363,-0.006744579210670842,1.1850564084980508,1.0644708198871355,0.7958241328415092,1.6335140834005963,1.6335140834005963,11,True,True,unavoidable,True,False,1.6480789417185713,1.6651684479614524,-0.01708950624288108,2.5777192831944085,0.08055372759982526,0.4911693540072283,0.5402703982083779,0.23410990894805012,0.025205342249329202,0.0,13.775359056262776,0.011227245442569256,1,,,32,0.4911693540072283,0.23410990894805012,13.775359056262776,0.08055372759982526,0,,,,,0,,,,,,low,medium,light,nominal,strong,strong,slow,False
9527,heuristic,53,True,False,0.49530859641710645,0.424025829681164,1235.1759633674574,0.8518454919775568,1.2114109279757415,-0.011353500753938262,0.6372793166454684,0.7322204200471497,0.8915603016378211,1.8852864297647496,1.8852864297647498,14,True,True,drift_required,True,False,1.4433970946712034,1.5253677319467651,-0.08197063727556175,27.094086394887064,0.5112091772620201,0.3242141304605549,0.7079802269102871,0.2082743814989364,0.027793830202581995,0.0,15.151796079486305,0.008074672892689705,1,,,53,0.3242141304605549,0.2082743814989364,15.151796079486305,0.5112091772620201,0,,,,,0,,,,,,medium,low,light,nominal,weak,weak,slow,False
9528,heuristic,76,False,True,1.037633890098579,0.3993352981563139,1496.6628418533007,1.0321812702436557,1.0058233719640486,-0.11929932692396372,1.3952910779698249,1.3168215455125831,1.1925297418129495,1.0761462969914308,1.0761462969914308,38,True,True,aes_feasible,False,True,3.129659982808108,1.3651667985169964,1.7644931842911116,95.4067250862919,1.2553516458722618,0.5082515679526907,0.9224973376435983,0.30920289352948316,0.04292367576702334,0.0,15.778241627696747,0.0077819619327783585,1,,,76,0.5082515679526907,0.30920289352948316,15.778241627696747,1.2553516458722618,0,,,,,0,,,,,,high,low,nominal,rear,strong,strong,nominal,True
9529,heuristic,44,True,False,1.1212414770341304,0.3475536980075736,1724.7155277456395,1.1894589846521653,1.1197014767985631,-0.0153265029429841,1.3370412280872426,0.5594005820277896,0.7644030443940188,1.809216398542378,1.809216398542378,17,True,True,unavoidable,True,False,1.7384023135540307,1.7753572943758829,-0.03695498082185211,13.654504534816507,0.310329648518557,0.8283558146160016,1.1837489845721052,0.26666152865888865,0.008873886464724664,0.0,11.732242000761897,0.002091901609674096,1,,,44,0.8283558146160016,0.26666152865888865,11.732242000761897,0.310329648518557,0,,,,,0,,,,,,high,low,heavy,nominal,weak,strong,slow,False
9530,heuristic,51,True,False,0.4005652540728336,0.3328072537453728,1690.8650427111954,1.1661138225594452,1.2070409240015942,-0.04882935209940564,0.8576775145656117,1.2923068107693338,1.2707361457870783,0.9420627776281041,0.942062777628104,18,True,True,unavoidable,True,False,1.339654816179423,1.4521460615258805,-0.11249124534645749,27.046271389611636,0.5303190468551301,0.25673000171800714,0.425679638714314,0.21155243446101785,0.09031443788440804,0.0,14.508680271538058,0.014119451865553856,1,,,51,0.25673000171800714,0.21155243446101785,14.508680271538058,0.5303190468551301,0,,,,,0,,,,,,low,low,heavy,rear,strong,nominal,nominal,False
9531,heuristic,42,True,False,1.0161804563851007,0.4691909766567505,1829.637422824154,1.26181891229252,1.0405453780997544,0.12737209716585474,1.2102083051113377,0.9462975996857925,0.9018874755010704,1.23304823487394,1.23304823487394,29,True,True,unavoidable,True,False,1.821755741589761,1.9706511280251635,-0.14889538643540257,14.127075281997325,0.3363589352856506,0.6542637778427353,1.2910812772768452,0.053209785034423085,0.01436774004327362,0.0,14.52263431167909,0.004413874354213476,1,,,42,0.6542637778427353,0.053209785034423085,14.52263431167909,0.3363589352856506,0,,,,,0,,,,,,high,medium,heavy,front,nominal,strong,slow,False
9532,heuristic,85,True,False,0.8000107606493485,0.2542176950400973,1588.2017644135694,1.0953115616645306,0.814847415836579,0.12349520392270419,1.410399598059279,0.8393337911764354,0.9797639140053901,1.4462199287706872,1.4462199287706872,9,True,True,drift_required,True,False,1.735328809540685,1.9416542925017697,-0.20632548296108477,55.24027604437115,0.6498856005220135,1.5842880219093403,3.4591389276865243,0.1853092269636118,0.017770584288097066,0.0,11.651695519871842,0.00401582894846797,1,,,85,1.5842880219093403,0.1853092269636118,11.651695519871842,0.6498856005220135,0,,,,,0,,,,,,high,low,heavy,front,weak,strong,slow,False
9533,heuristic,69,True,False,1.085039483798662,0.35079644360406614,1825.194922294624,1.2587551188238786,0.8868065790123727,0.10042291482041832,1.0996811039436198,0.7756907663797188,0.9934335263390128,1.0911994252207968,1.0911994252207968,26,True,True,drift_required,True,False,1.58427805423405,1.7084805989281389,-0.12420254469408887,43.75883822202799,0.6341860611888115,0.7833302060509021,1.600473367910574,0.15600142078452658,0.006741542559833563,0.0,11.969622577792348,0.0034040985628962517,1,,,69,0.7833302060509021,0.15600142078452658,11.969622577792348,0.6341860611888115,0,,,,,0,,,,,,high,low,heavy,front,weak,nominal,nominal,False
9534,heuristic,37,True,False,0.912150348531007,0.675714115753969,1422.3781230495742,0.9809504296893615,1.1729520124200632,-0.08245905969726763,1.2398023388386281,1.1105755326913056,0.6340017053965806,2.710047978465191,2.710047978465191,27,True,True,drift_required,True,False,1.5745206413334238,1.632120017477499,-0.057599376144075176,6.477906097739329,0.17507854318214403,0.19284990063728427,0.24103083238213685,0.2841722917116233,0.020889807925458196,0.0,13.538969123330636,0.020532118156552315,1,,,37,0.19284990063728427,0.2841722917116233,13.538969123330636,0.17507854318214403,0,,,,,0,,,,,,high,medium,nominal,rear,strong,strong,slow,False
9535,heuristic,33,True,False,0.5418642261913483,0.6514386317789711,1345.346878038383,0.9278254331299193,1.0815136185373677,0.09652447510122197,0.6738050873201931,0.9640695437020113,1.0039776409149586,2.416704561617877,2.416704561617877,17,True,True,unavoidable,True,False,1.7964166194974167,1.8915468586167115,-0.09513023911929475,3.4068135977430636,0.10323677568918374,0.4475487279031526,0.5789626024740002,0.22633644634514696,0.019359646361147533,0.0,12.964870647070157,0.0017221871530637145,1,,,33,0.4475487279031526,0.22633644634514696,12.964870647070157,0.10323677568918374,0,,,,,0,,,,,,medium,medium,light,front,nominal,weak,slow,False
9536,heuristic,31,True,False,0.5760389855741188,0.7381132696208883,1322.7836244050673,0.9122645685552188,1.1217513640689458,-0.04640268763399136,1.261725746636222,0.8200262938219269,1.152844926427052,1.825432932510383,1.8254329325103833,23,True,True,unavoidable,True,False,1.5011503018915424,1.6493736300610382,-0.1482233281694958,3.3782827766347268,0.10897686376241054,0.12839777234412597,0.25091808618525135,0.041600313675108816,0.01077344993586852,0.0,13.152047112882244,0.0030974927358329296,1,,,31,0.12839777234412597,0.041600313675108816,13.152047112882244,0.10897686376241054,0,,,,,0,,,,,,medium,medium,light,rear,weak,strong,slow,False
