task_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2063-osd-osd_v0_0152_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,1.0262145599465884,27.944727353442737,65.0,0,,0,,True,0,0,1,1,0,0
m2063-osd-osd_v0_0152_t3,L3_online_gru,outcome_by_source_profile,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,0.38289897837770726,71.14883626775006,54.0,1,L3_online_gru,1,m2063-osd-osd_v0_0152_t3,True,1,0,0,0,0,1
m2063-osd-osd_v0_0152_t3,L3_reset_control_corrected,outcome_by_source_profile,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,0.18052173622071366,73.17859285544156,54.0,1,L3_reset_control_corrected,1,m2063-osd-osd_v0_0152_t3,True,1,0,0,0,0,1
m2063-osd-osd_v0_0153_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.022249395320021126,-18.790275153991544,13.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0153_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.10803354856539937,-27.48896316191348,5.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0153_t3,L2_window_50,outcome_by_source_profile,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,0.14026167935337464,48.29105868976748,67.0,1,L2_window_50,1,m2063-osd-osd_v0_0153_t3,True,1,0,0,0,0,1
m2063-osd-osd_v0_0153_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.038364809335567296,-18.706140681260777,13.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0153_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.14384529989179495,-20.215704892884972,11.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0154_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.01399951618017714,1.7100223502391643,33.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0154_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.07764815744944764,5.844384371190152,38.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0154_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.016961164014422714,8.410814872246348,42.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0154_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.028325806313201474,0.38905386539052245,31.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0154_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.009706770409264154,-3.1656474769354155,29.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0155_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.05879564801546033,20.15032948399286,45.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0155_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.30406069339625996,4.073724732612334,40.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0155_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,1.1520501579787306,19.130105324671995,51.0,0,,0,,True,0,0,1,1,0,0
m2063-osd-osd_v0_0155_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.014587981002434969,8.500605849228336,38.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0155_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.27624386734797435,-2.1750708448504206,30.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0156_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.09862252042580733,1.605137755073649,34.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0156_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.04937056627319869,8.387932166260292,38.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0156_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.022397369688405888,8.347101241007904,86.0,0,,0,,True,0,0,1,1,0,0
m2063-osd-osd_v0_0156_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.033325399916912524,16.564217743328584,47.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0156_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.06373231430161863,17.291172429856655,41.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0157_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08445573773997195,-1.96022257144352,29.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0157_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.034266911502716546,0.1203036805486768,30.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0157_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.13216025375521667,0.049675349191652174,32.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0157_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1789498849440505,-6.465100981201836,24.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0157_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.13789175694454814,8.26127015060916,37.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0158_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.027335504406684086,4.044839113672214,48.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0158_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1527842641191548,7.71694803109115,38.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0158_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.40226145193131035,28.11162779837533,51.0,0,,0,,True,0,0,1,1,0,0
m2063-osd-osd_v0_0158_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.05697669544668171,3.7033698672589495,34.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0158_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.20840003856187073,4.342049144793066,36.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0159_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.055278099828344196,-12.496845801355267,19.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0159_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08504833206524087,-13.172520573862403,19.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0159_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1305738224802242,-7.1158702603284745,23.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0159_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.06508909334183355,-5.812245936416325,25.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0159_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.04621623024672883,-15.385260521532082,16.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0160_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.04825568526927215,8.959724074794359,39.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0160_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.021111649563154034,5.390904883777537,38.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0160_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.14264169172863483,15.181301279801396,42.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0160_t3,L3_online_gru,outcome_by_source_profile,weak_support,1,1,0,0,0,1.0,0.0,0.0,0.0,0.2487951801102526,84.66698121495648,54.0,1,L3_online_gru,1,m2063-osd-osd_v0_0160_t3,True,1,0,0,0,0,1
m2063-osd-osd_v0_0160_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1065928980359252,11.284420444695456,35.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0161_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.053191628351888065,-0.342963107661042,30.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0161_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.15236419303002058,1.5959787508834289,31.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0161_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,3.460799721638752,13.688875640439202,50.0,0,,0,,True,0,0,1,1,0,0
